URL,Category
https://www.booking.com/index.ru.html,Social Networking and Messaging
https://www.youtube.com/,"Streaming Services | [[0.07904982 0.0676571  0.07802662 0.05755006 0.05141425 0.02210626
  0.08775176 0.0439507  0.03362611 0.04877859 0.1182318  0.06230316
  0.03965592 0.13042451 0.07947344]]"
https://stackoverflow.com/,"Games | [[0.06156076 0.04091358 0.02136105 0.02359928 0.02013368 0.01989811
  0.6674381  0.02843291 0.00970406 0.03032608 0.01654446 0.00947268
  0.025486   0.00746915 0.0176601 ]]"
https://www.dota2.com/home?l=english,"Streaming Services | [[0.07904982 0.0676571  0.07802662 0.05755006 0.05141425 0.02210626
  0.08775176 0.0439507  0.03362611 0.04877859 0.1182318  0.06230316
  0.03965592 0.13042451 0.07947344]]"
https://toytheater.com/category/play/games/,"Forums | [[0.0605893  0.08066748 0.0473508  0.03330003 0.04634636 0.26784584
  0.04900223 0.03481614 0.07076915 0.05545468 0.07594351 0.07596619
  0.05603344 0.04591482]]"
"https://toytheater.com/category/play/games/
","Computers and Technology | [[0.08702921 0.16987923 0.06878603 0.05495716 0.05140697 0.07962038
  0.04881585 0.03828325 0.05096156 0.05250911 0.05587627 0.06165057
  0.13591766 0.04430664]]"
"https://toytheater.com/category/play/games/
","Computers and Technology | [[0.08702921 0.16987923 0.06878603 0.05495716 0.05140697 0.07962038
  0.04881585 0.03828325 0.05096156 0.05250911 0.05587627 0.06165057
  0.13591766 0.04430664]]"
"https://www.mathplayground.com/kindergarten_games.html
","Education | [[0.08966449 0.12052347 0.10161314 0.12609266 0.05144129 0.04026639
  0.05016902 0.04676297 0.06360365 0.05534669 0.03123153 0.09493314
  0.07618449 0.05216703]]"
https://www.dota2.com/home,"Computers and Technology | [[0.07329757 0.07431326 0.07168869 0.07357619 0.07033797 0.06962898
  0.07166416 0.06970961 0.06912714 0.07351779 0.07120152 0.07064371
  0.07181847 0.06947488]]"
https://blog.counter-strike.net/,"Games | [[0.01544376 0.0852506  0.08499864 0.02007611 0.03815971 0.29792702
  0.01323209 0.0094758  0.08376739 0.0154803  0.03177663 0.14764369
  0.11706121 0.03970709]]"
https://store.steampowered.com/,"Games | [[0.00708015 0.05968936 0.02387353 0.01283679 0.03699337 0.31580856
  0.01095147 0.00095056 0.07499034 0.02632642 0.00872798 0.22813562
  0.16252272 0.03111318]]"
